split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,family,layers,decay,teleport
test,prop_lightgcn_l3_d0p7,50,0.050177394830207805,0.012009621575322094,0.017462967200044335,1973,279,lightgcn,3,0.7,
test,prop_lightgcn_l3_d0p7,100,0.06943740496705525,0.012277320595491836,0.020833880388190933,1973,279,lightgcn,3,0.7,
val,prop_lightgcn_l3_d0p9,10,0.031172686788718457,0.016064458110474935,0.018303300921523085,2021,280,lightgcn,3,0.9,
val,prop_lightgcn_l3_d0p9,50,0.05690252350321623,0.017269520814375973,0.023605168683622845,2021,280,lightgcn,3,0.9,
val,prop_lightgcn_l3_d0p9,100,0.06630380999505195,0.01739474331320434,0.02521338663364849,2021,280,lightgcn,3,0.9,
test,prop_lightgcn_l3_d0p9,10,0.02483527622909275,0.011026235126589918,0.012564623656691393,1973,279,lightgcn,3,0.9,
test,prop_lightgcn_l3_d0p9,50,0.051697921946274705,0.012340461583817857,0.01783531315625983,1973,279,lightgcn,3,0.9,
test,prop_lightgcn_l3_d0p9,100,0.07298530157121136,0.012636758784150973,0.021659165580485966,1973,279,lightgcn,3,0.9,
val,prop_lightgcn_l3_d1p0,10,0.031172686788718457,0.016288494616055228,0.01835348290303737,2021,280,lightgcn,3,1.0,
val,prop_lightgcn_l3_d1p0,50,0.056407718951014346,0.017446153149631466,0.02365982305264989,2021,280,lightgcn,3,1.0,
val,prop_lightgcn_l3_d1p0,100,0.06630380999505195,0.017578655596830108,0.02531140948751413,2021,280,lightgcn,3,1.0,
test,prop_lightgcn_l3_d1p0,10,0.024328433857070453,0.011319881897682203,0.01260511343090702,1973,279,lightgcn,3,1.0,
test,prop_lightgcn_l3_d1p0,50,0.05321844906234161,0.012676595589995815,0.018379274018747054,1973,279,lightgcn,3,1.0,
test,prop_lightgcn_l3_d1p0,100,0.07197161682716675,0.012939543852494776,0.021740681777565756,1973,279,lightgcn,3,1.0,
val,prop_lightgcn_l4_d0p5,10,0.033151904997525974,0.014676845503169104,0.017714330823402045,2021,280,lightgcn,4,0.5,
val,prop_lightgcn_l4_d0p5,50,0.05442850074220683,0.01571185300541308,0.02246380489203173,2021,280,lightgcn,4,0.5,
val,prop_lightgcn_l4_d0p5,100,0.06580900544285008,0.015872714864836674,0.024244426724422688,2021,280,lightgcn,4,0.5,
test,prop_lightgcn_l4_d0p5,10,0.02331474911302585,0.010386447195874464,0.01187222307721683,1973,279,lightgcn,4,0.5,
test,prop_lightgcn_l4_d0p5,50,0.0481500253421186,0.011758742010138172,0.01704808943431421,1973,279,lightgcn,4,0.5,
test,prop_lightgcn_l4_d0p5,100,0.06994424733907754,0.012055756891361973,0.020636657883736302,1973,279,lightgcn,4,0.5,
val,prop_lightgcn_l4_d0p7,10,0.03364670954972786,0.016312645790626988,0.018832866086462265,2021,280,lightgcn,4,0.7,
val,prop_lightgcn_l4_d0p7,50,0.05541810984661059,0.017314707181778455,0.023438911075248006,2021,280,lightgcn,4,0.7,
val,prop_lightgcn_l4_d0p7,100,0.06630380999505195,0.017462993019992355,0.025169886121730333,2021,280,lightgcn,4,0.7,
test,prop_lightgcn_l4_d0p7,10,0.025848960973137353,0.010558210444170909,0.012559151311926954,1973,279,lightgcn,4,0.7,
test,prop_lightgcn_l4_d0p7,50,0.050177394830207805,0.01176697459080681,0.017303636597570615,1973,279,lightgcn,4,0.7,
test,prop_lightgcn_l4_d0p7,100,0.06994424733907754,0.012045768213563544,0.02081626931079069,1973,279,lightgcn,4,0.7,
val,prop_lightgcn_l4_d0p9,10,0.031172686788718457,0.015630718723247176,0.017935976726629062,2021,280,lightgcn,4,0.9,
val,prop_lightgcn_l4_d0p9,50,0.05591291439881247,0.016776320761379276,0.02317091563138191,2021,280,lightgcn,4,0.9,
val,prop_lightgcn_l4_d0p9,100,0.06630380999505195,0.016918087103992167,0.025001143584188392,2021,280,lightgcn,4,0.9,
test,prop_lightgcn_l4_d0p9,10,0.02483527622909275,0.011766989275859018,0.013070035040365103,1973,279,lightgcn,4,0.9,
test,prop_lightgcn_l4_d0p9,50,0.05321844906234161,0.013070313576149316,0.018629006495412558,1973,279,lightgcn,4,0.9,
test,prop_lightgcn_l4_d0p9,100,0.07146477445514444,0.01332873877752767,0.02192602513338708,1973,279,lightgcn,4,0.9,
val,prop_lightgcn_l4_d1p0,10,0.0326571004453241,0.01549268396126387,0.017871974237954672,2021,280,lightgcn,4,1.0,
val,prop_lightgcn_l4_d1p0,50,0.05541810984661059,0.016470189843217884,0.02284528037794489,2021,280,lightgcn,4,1.0,
val,prop_lightgcn_l4_d1p0,100,0.0653142008906482,0.016610046368632416,0.024481475446611296,2021,280,lightgcn,4,1.0,
test,prop_lightgcn_l4_d1p0,10,0.02382159148504815,0.011879017530309979,0.01291712172376466,1973,279,lightgcn,4,1.0,
test,prop_lightgcn_l4_d1p0,50,0.05473897617840851,0.013280635700209573,0.018942929470221304,1973,279,lightgcn,4,1.0,
test,prop_lightgcn_l4_d1p0,100,0.07146477445514444,0.013517239337134793,0.021972777676191636,1973,279,lightgcn,4,1.0,
val,prop_appnp_s2_a0p05,10,0.027709054923305294,0.012870219834593907,0.015171932007705918,2021,280,appnp,2,,0.05
val,prop_appnp_s2_a0p05,50,0.05096486887679367,0.01406311616188037,0.02028826145161433,2021,280,appnp,2,,0.05
val,prop_appnp_s2_a0p05,100,0.0628401781296388,0.014242533304754773,0.022457839575562712,2021,280,appnp,2,,0.05
test,prop_appnp_s2_a0p05,10,0.024328433857070453,0.01202121497357179,0.013180082630927566,1973,279,appnp,2,,0.05
test,prop_appnp_s2_a0p05,50,0.05423213380638622,0.013427107435829972,0.01922467908897546,1973,279,appnp,2,,0.05
test,prop_appnp_s2_a0p05,100,0.07146477445514444,0.013662671216584753,0.022187106075666364,1973,279,appnp,2,,0.05
val,prop_appnp_s2_a0p1,10,0.030183077684314694,0.013905775075987841,0.016157437949665187,2021,280,appnp,2,,0.1
val,prop_appnp_s2_a0p1,50,0.05294408708560119,0.01500884286803094,0.02134912618705229,2021,280,appnp,2,,0.1
val,prop_appnp_s2_a0p1,100,0.06432459178624443,0.015174977682793534,0.023322891254402858,2021,280,appnp,2,,0.1
test,prop_appnp_s2_a0p1,10,0.025342118601115054,0.012498290412634052,0.013598050803045762,1973,279,appnp,2,,0.1
test,prop_appnp_s2_a0p1,50,0.05625950329447542,0.013798081394358867,0.019624181499382793,1973,279,appnp,2,,0.1
test,prop_appnp_s2_a0p1,100,0.06943740496705525,0.01398491872990985,0.02211741705954541,1973,279,appnp,2,,0.1
val,prop_appnp_s2_a0p2,10,0.03166749134092034,0.015645248698192785,0.017761225295877366,2021,280,appnp,2,,0.2
val,prop_appnp_s2_a0p2,50,0.05591291439881247,0.01674976937790961,0.02301734586999143,2021,280,appnp,2,,0.2
val,prop_appnp_s2_a0p2,100,0.06630380999505195,0.016896524826992745,0.02481848828225702,2021,280,appnp,2,,0.2
test,prop_appnp_s2_a0p2,10,0.02483527622909275,0.011907778823642991,0.01309964688366216,1973,279,appnp,2,,0.2
test,prop_appnp_s2_a0p2,50,0.05423213380638622,0.013190768231988037,0.018878967333411736,1973,279,appnp,2,,0.2
test,prop_appnp_s2_a0p2,100,0.07197161682716675,0.01344099674295911,0.02197244867060473,1973,279,appnp,2,,0.2
val,prop_appnp_s2_a0p3,10,0.0326571004453241,0.015980419877005724,0.018426523824823595,2021,280,appnp,2,,0.3
val,prop_appnp_s2_a0p3,50,0.056407718951014346,0.01708653266023833,0.02337908336143034,2021,280,appnp,2,,0.3
val,prop_appnp_s2_a0p3,100,0.06729341909945571,0.017230680272108553,0.02520622848496881,2021,280,appnp,2,,0.3
test,prop_appnp_s2_a0p3,10,0.025848960973137353,0.010692765026267306,0.012606126122306566,1973,279,appnp,2,,0.3
test,prop_appnp_s2_a0p3,50,0.05271160669031931,0.011958775582874132,0.01767221100760099,1973,279,appnp,2,,0.3
test,prop_appnp_s2_a0p3,100,0.07247845919918905,0.012224104388376579,0.02129003491926468,1973,279,appnp,2,,0.3
val,prop_appnp_s4_a0p05,10,0.025235032162295893,0.012615159868994604,0.014567911216997362,2021,280,appnp,4,,0.05
val,prop_appnp_s4_a0p05,50,0.047996041563582385,0.013685655589153514,0.01947656591206366,2021,280,appnp,4,,0.05
val,prop_appnp_s4_a0p05,100,0.06333498268184068,0.013897461674813547,0.021956937018480033,2021,280,appnp,4,,0.05
test,prop_appnp_s4_a0p05,10,0.02382159148504815,0.01035688139083983,0.011721762137152515,1973,279,appnp,4,,0.05
test,prop_appnp_s4_a0p05,50,0.05271160669031931,0.01172491467871552,0.017982485699840855,1973,279,appnp,4,,0.05
test,prop_appnp_s4_a0p05,100,0.06791687785098834,0.011948913759518308,0.020577318237189897,1973,279,appnp,4,,0.05
val,prop_appnp_s4_a0p1,10,0.026719445818901535,0.012784218090996913,0.01493545150036709,2021,280,appnp,4,,0.1
val,prop_appnp_s4_a0p1,50,0.051459673428995545,0.013992610064911794,0.0204305767122601,2021,280,appnp,4,,0.1
val,prop_appnp_s4_a0p1,100,0.06432459178624443,0.01417611284593152,0.02254376660900817,2021,280,appnp,4,,0.1
test,prop_appnp_s4_a0p1,10,0.02483527622909275,0.01105439303614671,0.012561023707768192,1973,279,appnp,4,,0.1
test,prop_appnp_s4_a0p1,50,0.05473897617840851,0.012354398544850643,0.018664187766202066,1973,279,appnp,4,,0.1
test,prop_appnp_s4_a0p1,100,0.06893056259503294,0.012563899894372744,0.021261538672542244,1973,279,appnp,4,,0.1
val,prop_appnp_s4_a0p2,10,0.031172686788718457,0.015219756053501721,0.017501789347032642,2021,280,appnp,4,,0.2
val,prop_appnp_s4_a0p2,50,0.05541810984661059,0.01630978149353753,0.022822014342317346,2021,280,appnp,4,,0.2
val,prop_appnp_s4_a0p2,100,0.06630380999505195,0.016458868703593345,0.024546768137215572,2021,280,appnp,4,,0.2
test,prop_appnp_s4_a0p2,10,0.024328433857070453,0.011494662064859731,0.012884682007709739,1973,279,appnp,4,,0.2
test,prop_appnp_s4_a0p2,50,0.05271160669031931,0.012799331862247862,0.018492399668837107,1973,279,appnp,4,,0.2
test,prop_appnp_s4_a0p2,100,0.07146477445514444,0.013072003828456776,0.02172454524682686,1973,279,appnp,4,,0.2
val,prop_appnp_s4_a0p3,10,0.0326571004453241,0.015742638800530933,0.018411912469771106,2021,280,appnp,4,,0.3
val,prop_appnp_s4_a0p3,50,0.056407718951014346,0.016792875150652378,0.023251350639701313,2021,280,appnp,4,,0.3
val,prop_appnp_s4_a0p3,100,0.06729341909945571,0.016938618063256587,0.025080723784394923,2021,280,appnp,4,,0.3
test,prop_appnp_s4_a0p3,10,0.025848960973137353,0.010770601533399303,0.012582882687262485,1973,279,appnp,4,,0.3
test,prop_appnp_s4_a0p3,50,0.05271160669031931,0.012042153762722581,0.017731555437584447,1973,279,appnp,4,,0.3
test,prop_appnp_s4_a0p3,100,0.07146477445514444,0.012302292982450285,0.021168470086737754,1973,279,appnp,4,,0.3
val,prop_appnp_s8_a0p05,10,0.022761009401286492,0.013097005254353101,0.014387576876554934,2021,280,appnp,8,,0.05
val,prop_appnp_s8_a0p05,50,0.04601682335477486,0.014237727127469797,0.019380843891980193,2021,280,appnp,8,,0.05
val,prop_appnp_s8_a0p05,100,0.06333498268184068,0.01447290143017954,0.022027592241612548,2021,280,appnp,8,,0.05
test,prop_appnp_s8_a0p05,10,0.022301064368981247,0.008850232101625917,0.010546410364984384,1973,279,appnp,8,,0.05
test,prop_appnp_s8_a0p05,50,0.05423213380638622,0.010324079454425789,0.017077151046405163,1973,279,appnp,8,,0.05
test,prop_appnp_s8_a0p05,100,0.06487582361885454,0.010472582283274736,0.01920260877868878,1973,279,appnp,8,,0.05
val,prop_appnp_s8_a0p1,10,0.026224641266699655,0.013731219025627734,0.015541346200797787,2021,280,appnp,8,,0.1
val,prop_appnp_s8_a0p1,50,0.0499752597723899,0.014884285516330193,0.02069094236652532,2021,280,appnp,8,,0.1
val,prop_appnp_s8_a0p1,100,0.06481939633844631,0.015097832234947917,0.023131835255337466,2021,280,appnp,8,,0.1
test,prop_appnp_s8_a0p1,10,0.025342118601115054,0.010855477517920499,0.012740385898839898,1973,279,appnp,8,,0.1
test,prop_appnp_s8_a0p1,50,0.055752660922453116,0.012135189135090286,0.01874185144569973,1973,279,appnp,8,,0.1
test,prop_appnp_s8_a0p1,100,0.06994424733907754,0.012326731004791544,0.02132863791175562,1973,279,appnp,8,,0.1
val,prop_appnp_s8_a0p2,10,0.029688273132112815,0.015135128766994181,0.017406259981660906,2021,280,appnp,8,,0.2
val,prop_appnp_s8_a0p2,50,0.05541810984661059,0.016344896748672462,0.02294057915235682,2021,280,appnp,8,,0.2
val,prop_appnp_s8_a0p2,100,0.06630380999505195,0.016497702131255457,0.024673975256556253,2021,280,appnp,8,,0.2
test,prop_appnp_s8_a0p2,10,0.025342118601115054,0.012010756321450695,0.013478051979270458,1973,279,appnp,8,,0.2
test,prop_appnp_s8_a0p2,50,0.05220476431829701,0.013224581761993485,0.01874070746989197,1973,279,appnp,8,,0.2
test,prop_appnp_s8_a0p2,100,0.06943740496705525,0.013482106509977911,0.02173606497841704,1973,279,appnp,8,,0.2
val,prop_appnp_s8_a0p3,10,0.03364670954972786,0.015904824737085994,0.018676170052069563,2021,280,appnp,8,,0.3
