split,method,K,hit,mrr,ndcg,n_examples,n_with_relevant,alpha,transformer,graph_method
test,fusion_author_retriever_graphsage_author_a0p50,10,0.02280790674100355,0.008225327637390487,0.010093751996001345,1973,279,0.5,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p50,50,0.047136340598074,0.009249849970676157,0.014867336963685,1973,279,0.5,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p50,100,0.06234161175874303,0.009466562517705517,0.01729970971523023,1973,279,0.5,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p55,10,0.029193468579910935,0.012821328432412054,0.015424909080099938,2021,280,0.55,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p55,50,0.05244928253339931,0.01380971063536875,0.02041055498495091,2021,280,0.55,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p55,100,0.06333498268184068,0.013959160363154118,0.022114110811858472,2021,280,0.55,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p55,10,0.02331474911302585,0.008241618999348346,0.010223265701301942,1973,279,0.55,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p55,50,0.0466294982260517,0.009208619335784733,0.014797727382363832,1973,279,0.55,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p55,100,0.06132792701469843,0.009422828765841525,0.017043251612617105,1973,279,0.55,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p60,10,0.028698664027709056,0.012536226761857635,0.015208123063232748,2021,280,0.6,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p60,50,0.05244928253339931,0.0135713166202208,0.02033325809088795,2021,280,0.6,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p60,100,0.06382978723404255,0.013727198465719244,0.02211270438341058,2021,280,0.6,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p60,10,0.02331474911302585,0.008198577623311531,0.010187290998536236,1973,279,0.6,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p60,50,0.0456158134820071,0.009149166509185989,0.014585779883952132,1973,279,0.6,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p60,100,0.060821084642676125,0.009376037308947982,0.01692640720722929,1973,279,0.6,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p65,10,0.028698664027709056,0.012849602978252161,0.015410032330977532,2021,280,0.65,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p65,50,0.05294408708560119,0.013891570581792072,0.020649363510687576,2021,280,0.65,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p65,100,0.06382978723404255,0.0140409740958949,0.022309817995345666,2021,280,0.65,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p65,10,0.02331474911302585,0.008013338804012905,0.010091609363044509,1973,279,0.65,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p65,50,0.0451089711099848,0.00895064675626516,0.014382534503499808,1973,279,0.65,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p65,100,0.06031424227065383,0.009178849528676807,0.016686077241085097,1973,279,0.65,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p70,10,0.028698664027709056,0.01279658820480196,0.015368791123082289,2021,280,0.7,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p70,50,0.05294408708560119,0.013812048506326946,0.020568596858725342,2021,280,0.7,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p70,100,0.06382978723404255,0.013964066936490266,0.02223438801626235,2021,280,0.7,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p70,10,0.02280790674100355,0.007791494702290444,0.009809616610368218,1973,279,0.7,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p70,50,0.0451089711099848,0.0087691427536775,0.014234212176893683,1973,279,0.7,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p70,100,0.05980739989863153,0.008989394415948872,0.01645483972023894,1973,279,0.7,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p75,10,0.028698664027709056,0.01269801999638714,0.01529047559974322,2021,280,0.75,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p75,50,0.053933696190004946,0.013728312578050027,0.020658700748089256,2021,280,0.75,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p75,100,0.06333498268184068,0.013855573149699386,0.022104248315019333,2021,280,0.75,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p75,10,0.02331474911302585,0.007797729667978022,0.009915005531089252,1973,279,0.75,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p75,50,0.0451089711099848,0.008725535337910012,0.014193214919686451,1973,279,0.75,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p75,100,0.05980739989863153,0.008942255244578113,0.01640520577865244,1973,279,0.75,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p80,10,0.028698664027709056,0.012709801057153853,0.015299247457603648,2021,280,0.8,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p80,50,0.05195447798119743,0.01370295065383631,0.020257536568606033,2021,280,0.8,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p80,100,0.06382978723404255,0.01387322375048964,0.02218324166752007,2021,280,0.8,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p80,10,0.02331474911302585,0.007761928897255811,0.009879234656169843,1973,279,0.8,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p80,50,0.0451089711099848,0.00868571962542305,0.014151461434645081,1973,279,0.8,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p80,100,0.05980739989863153,0.008899375451237184,0.01635560624723313,1973,279,0.8,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p85,10,0.029193468579910935,0.012722760223997235,0.01530828136414348,2021,280,0.85,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p85,50,0.05195447798119743,0.013689104165580114,0.020229303820944986,2021,280,0.85,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p85,100,0.06432459178624443,0.01386495349317526,0.022230746953502148,2021,280,0.85,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p85,10,0.02331474911302585,0.007740810465088215,0.009867217727298157,1973,279,0.85,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p85,50,0.044602128737962494,0.008646598810202473,0.014037365901771603,1973,279,0.85,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p85,100,0.05879371515458692,0.008858025469944865,0.016156459239067025,1973,279,0.85,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p90,10,0.029193468579910935,0.012604556914304564,0.015235969184101701,2021,280,0.9,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p90,50,0.05244928253339931,0.013569329189031334,0.020226296234035223,2021,280,0.9,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p90,100,0.06432459178624443,0.013736019259012048,0.022141990905955186,2021,280,0.9,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p90,10,0.022301064368981247,0.007639441990683755,0.00968755296623982,1973,279,0.9,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p90,50,0.044602128737962494,0.008630794918525215,0.014020477701056477,1973,279,0.9,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p90,100,0.05828687278256462,0.008835234792093185,0.016141434446869423,1973,279,0.9,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p95,10,0.029193468579910935,0.012591401396448402,0.015220595820645168,2021,280,0.95,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p95,50,0.05244928253339931,0.013550304364969833,0.020199218561157473,2021,280,0.95,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a0p95,100,0.06432459178624443,0.013717921492033505,0.02211627916763384,2021,280,0.95,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p95,10,0.021794221996958945,0.007547325400847955,0.009499207334268218,1973,279,0.95,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p95,50,0.04409528636594019,0.008562191674454805,0.013906707397761212,1973,279,0.95,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a0p95,100,0.05828687278256462,0.008772449327099098,0.016073316553652173,1973,279,0.95,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a1p00,10,0.029193468579910935,0.012449439614209528,0.0151469178239845,2021,280,1.0,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a1p00,50,0.051459673428995545,0.013386054692040517,0.01994247653568966,2021,280,1.0,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_a1p00,100,0.06432459178624443,0.01357381031850214,0.02203471432427345,2021,280,1.0,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a1p00,10,0.019766852508869743,0.007315022647004401,0.008923825452751095,1973,279,1.0,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a1p00,50,0.04409528636594019,0.00848873782542133,0.013793478388404955,1973,279,1.0,author_retriever,graphsage_author
test,fusion_author_retriever_graphsage_author_a1p00,100,0.05828687278256462,0.008696960846422642,0.015955848005352467,1973,279,1.0,author_retriever,graphsage_author
val,fusion_author_retriever_graphsage_author_metacluster_a0p00,10,0.030183077684314694,0.013423929690629343,0.016270889688259765,2021,280,0.0,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p00,50,0.05541810984661059,0.014535495956590304,0.021648429303554047,2021,280,0.0,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p00,100,0.06679861454725383,0.014704755852828709,0.02350934398882568,2021,280,0.0,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p00,10,0.02027369488089204,0.007211441765420478,0.008737803191704975,1973,279,0.0,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p00,50,0.0476431829700963,0.008490645561034063,0.014305869014908136,1973,279,0.0,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p00,100,0.06132792701469843,0.008701725437382495,0.016388754522921933,1973,279,0.0,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p05,10,0.030677882236516577,0.013276077378007116,0.01627537682880253,2021,280,0.05,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p05,50,0.05541810984661059,0.014327937745616467,0.021498306718217224,2021,280,0.05,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p05,100,0.06679861454725383,0.014496221485562897,0.023328880517938185,2021,280,0.05,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p05,10,0.02027369488089204,0.007269969991713529,0.008786094492372921,1973,279,0.05,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p05,50,0.047136340598074,0.008541301902315024,0.01432035000860372,1973,279,0.05,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p05,100,0.06234161175874303,0.008771716989656233,0.0165953406096883,1973,279,0.05,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p10,10,0.030677882236516577,0.01333400092677678,0.016165759456248065,2021,280,0.1,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p10,50,0.05541810984661059,0.014375944661116706,0.021439460681418936,2021,280,0.1,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p10,100,0.06679861454725383,0.014542657282346341,0.023267034374743104,2021,280,0.1,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p10,10,0.019766852508869743,0.007203798904255062,0.008689860758893553,1973,279,0.1,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p10,50,0.0476431829700963,0.008521940755796133,0.014357440925576113,1973,279,0.1,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p10,100,0.06234161175874303,0.008741463088137228,0.016575692853157242,1973,279,0.1,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p15,10,0.030183077684314694,0.013301603009668324,0.016019356179158444,2021,280,0.15,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p15,50,0.05541810984661059,0.014388507024670307,0.02137288338661868,2021,280,0.15,author_retriever,graphsage_author_metacluster
val,fusion_author_retriever_graphsage_author_metacluster_a0p15,100,0.06679861454725383,0.014554850068566692,0.02319977636074703,2021,280,0.15,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p15,10,0.019766852508869743,0.007191127844954505,0.008676480094692924,1973,279,0.15,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p15,50,0.0481500253421186,0.00852904977093257,0.014406449773868782,1973,279,0.15,author_retriever,graphsage_author_metacluster
test,fusion_author_retriever_graphsage_author_metacluster_a0p15,100,0.06183476938672073,0.008733572240517792,0.016534921774646747,1973,279,0.15,author_retriever,graphsage_author_metacluster
