method,level,variant,cluster_size,log10_cluster_size
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,59.0,1.7708520116421442
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,492.0,2.69196510276736
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,24.0,1.380211241711606
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,532.0,2.7259116322950483
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,332.0,2.5211380837040362
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,273.0,2.436162647040756
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,48.0,1.6812412373755872
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,140.0,2.146128035678238
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,895.0,2.951823035315912
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,221.0,2.3443922736851106
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,372.0,2.5705429398818973
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,326.0,2.513217600067939
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,185.0,2.2671717284030137
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,456.0,2.658964842664435
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,108.0,2.03342375548695
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,693.0,2.8407332346118066
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1337.0,3.1261314072619846
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,541.0,2.7331972651065692
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,415.0,2.6180480967120925
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,538.0,2.7307822756663893
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,22.0,1.3424226808222062
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,247.0,2.392696953259666
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,180.0,2.255272505103306
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,559.0,2.747411807886423
